# X	Z
0.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000021e-02	3.004999833335555634e-02
2.000000000000000042e-02	6.019997333475551882e-02
2.999999999999999889e-02	9.044986501619894925e-02
4.000000000000000083e-02	1.207995734243451635e-01
5.000000000000000278e-02	1.512489586804935671e-01
5.999999999999999778e-02	1.817978410365334307e-01
7.000000000000000666e-02	2.124460009468407407e-01
8.000000000000000167e-02	2.431931791560932865e-01
8.999999999999999667e-02	2.740390768029696278e-01
1.000000000000000056e-01	3.049833555396895823e-01
1.100000000000000006e-01	3.360256376673486090e-01
1.199999999999999956e-01	3.671655062869926267e-01
1.300000000000000044e-01	3.984025054663716814e-01
1.400000000000000133e-01	4.297361404223073444e-01
1.499999999999999944e-01	4.611658777185985159e-01
1.600000000000000033e-01	4.926911454793898026e-01
1.700000000000000122e-01	5.243113336179134887e-01
1.799999999999999933e-01	5.560257940805162225e-01
1.900000000000000022e-01	5.878338411058724455e-01
2.000000000000000111e-01	6.197347514992788131e-01
2.099999999999999922e-01	6.517277649219228586e-01
2.200000000000000011e-01	6.838120841950091622e-01
2.300000000000000100e-01	7.159868756186187344e-01
2.399999999999999911e-01	7.482512693051789343e-01
2.500000000000000000e-01	7.806043595274068103e-01
2.600000000000000089e-01	8.130452050805875297e-01
2.700000000000000178e-01	8.455728296590440118e-01
2.800000000000000266e-01	8.781862222466461088e-01
2.899999999999999800e-01	9.108843375212032356e-01
2.999999999999999889e-01	9.436660962725803570e-01
3.099999999999999978e-01	9.765303858343665766e-01
3.200000000000000067e-01	1.009476060528926800e+00
3.300000000000000155e-01	1.042501942125658720e+00
3.400000000000000244e-01	1.075606820312267953e+00
3.500000000000000333e-01	1.108789453178878004e+00
3.599999999999999867e-01	1.142048567714776253e+00
3.699999999999999956e-01	1.175382860317603084e+00
3.800000000000000044e-01	1.208790997314773685e+00
3.900000000000000133e-01	1.242271615496930659e+00
4.000000000000000222e-01	1.275823322663208748e+00
4.100000000000000311e-01	1.309444698178096722e+00
4.199999999999999845e-01	1.343134293539673063e+00
4.299999999999999933e-01	1.376890632958986949e+00
4.400000000000000022e-01	1.410712213950354954e+00
4.500000000000000111e-01	1.444597507932333880e+00
4.600000000000000200e-01	1.478544960839134337e+00
4.700000000000000289e-01	1.512552993742225516e+00
4.799999999999999822e-01	1.546620003481885774e+00
4.899999999999999911e-01	1.580744363308445699e+00
5.000000000000000000e-01	1.614924423532964948e+00
5.100000000000000089e-01	1.649158512187087755e+00
5.200000000000000178e-01	1.683444935691805533e+00
5.300000000000000266e-01	1.717781979534868331e+00
5.400000000000000355e-01	1.752167908956565157e+00
5.500000000000000444e-01	1.786600969643605819e+00
5.600000000000000533e-01	1.821079388430822066e+00
5.700000000000000622e-01	1.855601374010410698e+00
5.799999999999999600e-01	1.890165117648431536e+00
5.899999999999999689e-01	1.924768793908279374e+00
5.999999999999999778e-01	1.959410561380831695e+00
6.099999999999999867e-01	1.994088563420988169e+00
6.199999999999999956e-01	2.028800928890305943e+00
6.300000000000000044e-01	2.063545772905427622e+00
